202140,1598,180
202141,1529,288
202142,5191,273
202143,2021,326
202144,1691,495
202145,1885,534
202146,1921,710
202147,8124,2006
202148,28469,19402
202149,30134,15423
202150,11630,874
202151,13906,343
202152,12238,803
202201,11396,1006
202202,10900,1575
202203,10465,251
202204,10315,665
202205,10520,580
202206,10405,570
202207,9792,821
202208,11154,502
202209,12586,525
202210,12598,661
202211,11109,840
202212,7082,431
202213,10087,392
202214,11299,1030
202215,10895,711
202216,10468,155
202217,10968,951
202218,10889,821
202219,11277,1580
